abstract,title,year,journal,authors,base,exclusion_stage,exclusion reson,#ID
"This article characterizes the perceptions of government bureaucrats about cost-benefit analysis (CBA). The observations arise after working with government officials on various projects and leading many executive seminars for government employees over the last decade on the principles and practice of CBA. Government employees tend to adopt one of three conceptual lenses: Guardians, Spenders, and Analysts. These perspectives differ sharply from one another, resulting in completely different meanings to the words benefits and costs. The orientation of Guardians is to ""revenue-expenditure"" analysis, white Spenders are oriented to ""constituency-support"" analysis. Analysts are oriented to standard CBA. The differences in perspectives are illustrated using an ex ante CBA of a proposed toll highway project. © 2008 the Association for Public Policy Analysis and Management.",costs and benefits through bureaucratic lenses: example of a highway project,2009,Cost-Benefit Analysis and Public Policy,"Boardman, A., Vining, A., Waters, W.G.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",388
"Politicians bias public policies to favor particular election districts. According to the traditional common pool model, districts facing low tax shares should receive relatively large government projects. We suggest a swing-voter model where the number of voters on the ideological cut point, lack of party identification and number of district representatives per voter determine project sizes. We analyze the allocation of state road investments in Norway from 1973-1997 exploiting unique data on characteristics of voters, legislative representation and tax prices in 19 election districts. Geographical representation to parliament is biased, mostly due to an ancient constitution. Shares of swing voters and legislative over-representation lead to higher levels of road investments, while high levels of party identification reduce investments. © 2008 Springer Science+Business Media, LLC.",geographical redistribution with disproportional representation: a politico-economic model of norwegian road projects,2009,Public Choice,"Helland, L., Sørensen, R.J.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",389
"We consider the consequences of the Senate electoral cycle and bicameralism for distributive politics, introducing the concept of contested credit claiming, i.e., that members of a state's House and Senate delegations must share the credit for appropriations that originate in their chamber with delegation members in the other chamber. Using data that isolate appropriations of each chamber, we test a model of the strategic incentives contested credit claiming creates. Our empirical analysis indicates that the Senate electoral cycle induces a back-loading of benefits to the end of senatorial terms, but that the House blunts this tendency with countercyclical appropriations. Our analysis informs our understanding of appropriations earmarking and points a way forward in studying the larger consequences of bicameral legislatures. © 2009 Midwest Political Science Association.",the senate electoral cycle and bicameral appropriations politics,2009,American Journal of Political Science,"Shepsle, K.A., Van Houweling, R.P., Abrams, S.J., Hanson, P.C.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",390
"Previous scholarship has investigated why legislatures sometimes choose to delegate policy choice to executive agencies, but there is little research on the consequences of the choice to delegate or not. Using a multiple principal-agent framework, this paper provides empirical evidence regarding the impact of legislative delegation and agency discretion on the work of U.S. government employees. Findings suggest that delegation directly reduces employee discretion only in client service agencies; its direct effects on employee productivity are more evident but varied. Legislative delegation is also associated with more executive political appointees, whose presence reduces both employee discretion and productivity. Whether employees with more discretion are more productive than those with less depends on their commitment to the job: employees who like their work more than their pay use their discretion to enhance productivity, while employees who like their pay more than their work use their discretion to reduce productivity.",controlling federal agencies: the contingent impact of external controls on worker discretion and productivity,2009,International Public Management Journal,"Langbein, L.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",391
"This article examines whether the career needs of legislators–to be re-elected or to move on to another political post–allow us to explain the rules governing committee structures and the committee assignments individual legislators obtain. It uses the institutional variations provided by Argentina, Costa Rica, and Venezuela to test hypotheses about committee assignments and committee assignment mechanisms. It finds that incentives created by candidate selection procedures and electoral rules show some relationship to committee assignments, but with a good deal of variation across national cases and individual careers. © 2009 Taylor & Francis.",the electoral connection and legislative committees,2009,Journal of Legislative Studies,"Crisp, B.F., Escobar-Lemmon, M.C., Jones, B.S., Jones, M.P., Taylor-Robinson, M.M.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",392
"In this study, the authors derive measures of the redistributive effect of taxes and welfare expenditures for the United States using Current Population Survey data for the years 1994, 1999, and 2004. The authors find that while income inequality increased, the redistributive effect of taxes and public transfers together reduced market income inequality by approximately 30 percent. In 2004, 88 percent of the net redistributive effect resulted from public transfers and 12 percent from taxes. The total redistributive effect would have improved by 35 percent in 2004 if horizontal inequities in taxes and public transfers could have been eliminated. © 2009 Sage Publications.","redistributive effect of u.s. taxes and public transfers, 1994-2004",2009,Public Finance Review,"Kim, K., Lambert, P.J.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",393
"Representative governments under-invest in public goods that provide insurance against risk, The combination of inequality and risk aversion guarantees that the payoffs to insurance are skewed, so the median voter prefers a sub-optimally low level of investment. The problem is exacerbated by supermajority requirements or the need for international coordination. This accounts for some of the characteristic shortcomings of domestic public policy and represents an important obstacle to international cooperation. The argument is illustrated with reference to the Kyoto Protocol and the International Monetary Fund. The argument implies that delegation to international organizations with risk-averse preferences may be welfare enhancing. © 2009 by the Massachusetts Institute of Technology.",risk in international politics,2009,Global Environmental Politics,"Stone, R.W.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",394
"This book presents a theoretical framework to discuss how governments coordinate budgeting decisions. There are two modes of fiscal governance conducive to greater fiscal discipline, a mode of delegation and a mode of contracts. These modes contrast with a fiefdom form of governance, in which the decision-making process is decentralized. An important insight is that the effectiveness of a given form of fiscal governance depends crucially upon the underlying political system. Delegation functions well when there few, or no, ideological differences among government parties, whereas contracts are effective when there are many such differences. Based on original research, the book classifies European Union countries from 1985 to 2004. Empirically, delegation and contract states perform better than fiefdom states if they match the underlying political system. Additional chapters consider why countries have the fiscal institutions that they do, fiscal governance in Central and Eastern Europe, and the role of such institutions in the European Union. © Mark Hallerberg, Rolf Rainer Strauch, Jürgen von Hagen 2009.",fiscal governance in europe,2009,Fiscal Governance In Europe,"Hallerberg, M., Strauch, R.R., Von Hagen, J.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",395
"Imperfect Union offers the first political theory of special purpose jurisdictions, which constitute the most common form of local government in the United States today. Collectively, special purpose governments have more civilian employees than the federal government and spend more than all city governments combined. The proliferation of special purpose jurisdictions has fundamentally altered the nature of representation and taxation in local government. Citizens today are commonly represented by dozens - in some cases hundreds - of local officials in multiple layers of government. As a result, political participation in local elections is low and special interest groups associated with each function exert disproportionate influence. With multiple special-interest governments tapping the same tax base, the local tax base takes on the character of a common-pool resource, leading to familiar problems of overexploitation. Strong political parties can often mitigate the common-pool problem by informally coordinating the policies of multiple overlapping governments. © Christopher R. Berry 2009.",imperfect union: representation and taxation in multilevel governments,2009,Imperfect Union: Representation and Taxation in Multilevel Governments,"Berry, C.R.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",396
"Individuals with access to multiple jurisdictions can choose to distribute their consumption of many government policies across various polities to avoid costs imposed by their own government. This alters preferences over their own government's policies, suggesting such voters should disproportionately favor policies whose costs are evadable. Referendum voting from the Switzerland and the United States confirms this theorizing: border areas, where the populations have systematically greater access to other jurisdictions, see significantly different levels of support for a variety of policy measures, including abortion policy, legal retirement age, and sales tax rates. © 2008 R. Urbatsch.",location and policy preferences,2008,Quarterly Journal of Political Science,"Urbatsch, R.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",397
"This paper examines the decentralization process in the state of Maharashtra. Among the states in India, Maharashtra's efforts at decentralization are regarded as a success story. Using cross-section data for 243 urban local governments, the paper examines the flypaper effect, that is, the expenditure stimulus of grants from the state government to the urban governments. The significance of spatial factors has been highlighted in the study. The models have been estimated using spatial econometric techniques. Most of the estimated models show the presence of the flypaper effect. © The Applied Regional Science Conference (ARSC)/Blackwell Publishing Asia Pty Ltd. 2009.",flypaper effect incorporating spatial interdependence,2008,Review of Urban and Regional Development Studies,"Karnik, A., Lalvani, M.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",398
"Republicanism, as opposed to direct democracy, has been theorized to protect minority rights. Direct democracy with its majority rule is unlikely to serve the interests of minorities particularly if their interests are perceived to conflict with the majority's interests. However, Republican Institutions vary in features that affect their responsiveness to majoritarian preferences. This article examines whether specific legislative features associated with responsiveness (majoritarian participation, constituent ties and professionalism) affect the gay, lesbian, bisexual and transgender (GLBT) agenda in state legislatures. The findings suggest that the importance of these features is dependent on the ideological leanings of the state. The findings also suggest that some features expand both pro- and anti-GLBT agendas, and the effects of professionalism are ambiguous. © 2008 Western Social Science Association.","the responsiveness of state legislatures and their agenda concerning gay, lesbian, bisexual and transgender interests",2008,Social Science Journal,"Herrick, R.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",399
"Agricultural Policy has been a core element of the European Economic Community since its early beginnings (Tracy 1989, 1997). The assessment of the role for the European Union (EU) and the Member States in agricultural policy in this chapter is based on the principle of subsidiarity as defined in Ederveen et al. (2008). The Treaty of the European Community (1997) states that ""the Community shall take action, in accordance with the principle of subsidiarity"" only for ""areas which do not fall within its [the Community's] exclusive competence"" (Art. 5, par. 2). This chapter, however, goes beyond this definition and reviews the role of the EU and the Member States in agricultural policy design and funding independently from the criterion of whether they fall under exclusive responsibility of the EU, such as large parts of agricultural policy in the EU. The basis for the assessment of the role of the EU and the Member States is the functional test for subsidiarity developed in Ederveen et al. (2008). © 2008 Springer-Verlag Berlin Heidelberg.",agriculture policy: what roles for the eu and the member states?,2008,Subsidiarity and Economic Reform in Europe,"Grethe, H.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",400
"This book argues insightfully that underdevelopment is the result of the political economy difficulties some countries have in the effectiveness of public expenditures in general and of social pro-poor expenditures in particular. The policy implication is that reform strategies should focus on identifying the ""wrong"" political incentives in public expenditures.' © Eduardo Wiesner, 2008. All rights reserved.",the political economy of macroeconomic policy reform in latin america: the distributive and institutional context,2008,The Political Economy of Macroeconomic Policy Reform in Latin America: The Distributive and Institutional Context,"Wiesner, E.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",401
"There is a growing body of literature on the commitment problem of interregional transfers. The problem occurs because of an ex post bailout by a central government leading to ex ante adverse incentive consequences for a local government. However, different models have yielded different economic consequences. The local government may be too large, overspending and/or overborrowing, or it may be too small, raising less of its own revenue. In the presence of interregional spillovers, the equilibrium may yield a Pareto-efficient outcome. The present paper aims to synthesize these models, developing a simple decentralized leadership model. A critical question concerns what decision is made ex ante by the local government-namely public expenditure or tax collection-with the remaining policy instrument being residual adjusted by ex post transfers. We discuss how different scenarios affect the equilibrium outcome. © 2008 Elsevier Inc. All rights reserved.",too big or too small? a synthetic view of the commitment problem of interregional transfers,2008,Journal of Urban Economics,"Akai, N., Sato, M.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",402
"This article investigates the relationship between representation in legislatures and the geographic distribution of federal funds. In a legislative bargaining model, we demonstrate that funds are concentrated in high representation areas, and two channels underlie this result. The proposal power channel reflects the role of representation in committee assignments, and the vote cost channel reflects the role of representation in coalition formation. In our empirical analysis, we find that small states, relative to large states, receive more funding in the US Senate, relative to the House. We also find empirical support for the two channels underlying this relationship. © The Author(s). Journal compilation © 2008 by the Royal Economic Society.","legislative representation, bargaining power and the distribution of federal funds: evidence from the us congress",2008,Economic Journal,"Knight, B.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",403
"This paper explores the widely accepted view that Wal-Mart causes significant harm to the traditional, small ""mom and pop"" business sector of the U.S. economy. We present the first rigorous econometric investigation of this issue by examining the rate of self-employment and the number of small employer establishments using both time series and cross-sectional data. We also examine alternative measures and empirical techniques for robustness. Contrary to popular belief, our results suggest that the process of creative destruction unleashed by Wal-Mart has had no statistically significant long-run impact on the overall size and profitability of the small business sector in the United States. (JEL L81, D59, C21) © 2007 Western Economic Association International.",has wal-mart buried mom and pop?: the impact of wal-mart on self-employment and small establishments in the united states,2008,Economic Inquiry,"Sobel, R.S., Dean, A.M.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",404
"This paper reconciles the long-standing debate on electorally motivated government spending by embedding politicians' electoral incentives in political institutions. Using budgetary spending data from 21 OECD countries from 1973 to 2000, this paper shows that electoral budgetary cycles take the form of higher district-specific spending under single-member district systems and higher social welfare spending under proportional representation systems. This study also shows that budgetary cycles are constrained by multiple veto players. The results remain robust even after taking into account the effect of exchange rate regimes and the possibility of strategically timed elections. © 2008 Southern Political Science Association.",electoral incentives and budgetary spending: rethinking the role of political institutions,2008,Journal of Politics,"Chang, E.C.C.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",405
"Here we argue for the use of cointegration and error correction analysis to combine economic factors that are nonstationary with political factors that are stationary into an empirical model of the evolution of public policy over long periods. The approach is applied to disentangle the contributions of economics and politics to the evolution of public expenditure by the Government of Canada over 130 years. Political competition emerges as the primary political factor affecting government size. © 2008 Springer Science+Business Media, LLC.",studying the role of political competition in the evolution of government size over long horizons,2008,Public Choice,"Ferris, J.S., Park, S.-B., Winer, S.L.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",406
"This article discusses the common-pool problems that arise when multiple territorially overlapping governments share the authority to provide services and levy taxes in a common geographic area. Contrary to the traditional Tiebout model in which increasing the number of competing governments improves efficiency, I argue that increasing the number of overlapping governments results in ""overfishing"" from the shared tax base. I test the model empirically using data from U.S. counties and find a strong positive relationship between the number of overlapping jurisdictions and the size of the local public sector. Substantively, the ""overlap effect"" amounts to roughly 10% of local revenue. © 2008, Midwest Political Science Association.",piling on: multilevel government and the fiscal common-pool,2008,American Journal of Political Science,"Berry, C.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",407
"Though the relationship between local government structure and expenditure has received considerable attention, there is little consensus as to how the features of representative government affect local expenditure. An exception is city council size, which has consistently been found to be positively related to spending. Previous results rely on cross-sectional estimation which may be subject to omitted variable bias. This paper analyzes three components of municipal governments-the form of government, the size of the city council, and the election method of city councilors. Once fixed effects estimation is employed, the positive relationship between city council size and expenditure disappears. © 2008 Springer Science+Business Media, LLC.",the impact of government structure on local public expenditures,2008,Public Choice,"MacDonald, L.",Scopus,Final,Paper was included,408
"In Italy the debate on procedures related to the State budget is recurrent and tends to focus on the legislation stage. There is a widespread dissatisfaction on the way the budget is discussed and approved by Parliament. We argue that the entire procedure, including the stages of preparation, legislation and execution, should be reconsidered. The budget process in Italy suffers mainly from excessive fragmentation at the preparation stage, where a bottom-up approach is followed. Conversely, the execution stage is characterized by an excess of centralization. Lack of transparency is a direct consequence of this state of affairs. We advocate a reform that involves following a top-down approach in the preparation stage, changing the rules of examining and approving the budget in the legislation stage, restructuring the executive budget office in the implementation stage.",a note on budget procedures [note sulle procedure di bilancio],2008,Politica Economica,"Pisauro, G., Visco, V.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",409
"What explains variations in electoral volatility? The authors argue that fiscal space-availability of financial resources to enact policy initiatives and provide public programs-possessed by governments can explain the level of electoral volatility. Where governments have fiscal space, citizens reward incumbent parties with their continued support. But when fiscal space is constrained, the incumbent government's ability to provide state resources is drastically reduced. Citizens are therefore less likely to reward the party at the polls and are available to opposition politicians and alternative appeals. Vote-switching ensues, and the incumbent government is voted out of the office. The authors test this argument and others in the existing literature on electoral returns from state assembly elections across 15 major Indian states from 1967 to 2004. The results support the argument that fiscal space influences electoral volatility. © 2008 Sage Publications.",unstable politics: fiscal space and electoral volatility in the indian states,2008,Comparative Political Studies,"Nooruddin, I., Chhibber, P.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",410
"If school boards represent the preferences of the median voter, referendums to approve school expenditures should not constrain school expenditures. If school boards would choose expenditures larger than the median voter's preference, referendums that restrict voters to approving or disapproving a school board's recommended expenditure level will result in expenditures larger than the median voter would prefer. However, Florida used a unique referendum system which guaranteed the median voter's most preferred outcome. Using Florida education expenditures as a benchmark, the evidence suggests that spending was slightly higher in restricted choice referendum states than in Florida. © 2008 Springer Science+Business Media, LLC.",does restricting choice in referenda enable governments to spend more?,2008,Public Choice,"Holcombe, R.G., Kenny, L.W.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",411
"This paper focuses on the observed empirical relationship between fiscal rules and budget deficits, and examines whether this correlation is driven by an omitted variable, namely voter preferences. We make use of two different estimation methods to capture voter preferences in a panel of Swiss sub-federal jurisdictions. First, we include a recently constructed measure of fiscal preferences. Second, we capture preferences through fixed effects with a structural break as women are enfranchised. We find that fiscal rules continue to have a significant impact on real budget balances. © 2008 Springer Science+Business Media, LLC.",do fiscal rules cause budgetary outcomes?,2008,Public Choice,"Krogstrup, S., Wälti, S.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",412
"Without pressure from a small but influential group of London financiers, Confederation would not have occurred in 1867, if at all. These financiers supported the unification of the British North American colonies because they believed it would rescue their under-performing investments and keep British North America within the British Empire. Andrew Smith discusses the role of British investors in Canadian Confederation, covering the period from the construction of the Grand Trunk Railroad in the 1850s to Canada's purchase of Rupert's Land in 1869-70. He describes how some investors lobbied the British government for the policies that made Confederation possible, working closely with the Fathers of Confederation, many of whom were participants in the same trans-Atlantic crony-capitalist system. British factory owners with classical liberal beliefs, however, disliked Confederation because they believed it would delay the political independence of the North American colonies, something they saw as beneficial. British Businessmen and Canadian Confederation reminds Canadians that most contemporaries of Confederation saw it as a way to preserve the colonists' bonds with Britain rather than to expand their political autonomy. It should interest a wide audience - from students of Canadian political history to historians interested in Victorian globalization. © McGill-Queen's University Press 2008.",british businessmen and canadian confederation: constitution-making in an era of anglo-globalization,2008,British Businessmen and Canadian Confederation: Constitution-Making in an Era of Anglo-Globalization,"Smith, A.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",413
"In this paper we analyze the interaction of income and preference heterogeneity in a political economy framework. We ask whether the presence of preference heterogeneity (arising, for example, from different ethnic groups or geographic locations) affects the ability of the poor to extract resources from the rich. We study the equilibrium of a game in which coalitions of individuals form parties, parties propose platforms, and all individuals vote, with the winning policy chosen by plurality. Political parties are restricted to offering platforms that are credible (in that they belong to the Pareto set of their members). The platforms specify the values of two policy tools: a general redistributive tax which is lump-sum rebated (or used to fund a general public good) and a series of taxes whose revenue is used to fund specific (targeted) goods tailored to particular preferences or localities. Our analysis demonstrates that taste conflict first dilutes but later reinforces class interests. When the degree of taste diversity is low, the equilibrium policy is characterized by some amount of general income redistribution and some targeted transfers. As taste diversity increases in society, the set of equilibrium policies becomes more and more tilted towards special interest groups and against general redistribution. As diversity increases further, however, the only policy that can emerge supports exclusively general redistribution. © 2008 Elsevier B.V. All rights reserved.",diversity and redistribution,2008,Journal of Public Economics,"Fernández, R., Levy, G.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",414
"From the literature on decentralization, it appears that the fiscal vertical imbalance (i.e. the dependence of sub-national governments on national government revenues to support their expenditures) is somehow inherent to multi-level governments. Using a stylized model we show that this leads to a reduction of the extent of redistributive fiscal policies if the maximal size of government has been reached. To test for this empirically, we use some high quality data from the LIS dataset on individual incomes. The results are highly significant and point in the direction of our theoretical predictions. © 2008 Elsevier B.V. All rights reserved.",redistributing income under fiscal vertical imbalance,2008,European Journal of Political Economy,"Bouton, L., Gassner, M., Verardi, V.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",415
"Since 1965 a significant portion of the US Department of Agriculture's extramural research budget has been earmarked by Congress for particular research projects. We analyze the process by which a minority of Congress induces the USDA to carry out its budgetary suggestions. We present evidence demonstrating the influence that appropriators possess over the allocation of earmarked grants. Finally, we argue that this program provides an excellent illustration of path-dependence in government policy, and that an understanding of the special grants program may shed light on the decline of science at the USDA and Congress's reluctance to increase agricultural research funding. © 2008 American Agricultural Economics Association.",earmarked: the political economy of agricultural research appropriations,2008,Review of Agricultural Economics,"Law, M.T., Tonon, J.M., Miller, G.J.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",416
"During the twentieth century, the United States shifted from embracing protectionism to being an advocate for global free trade. Scholarly debate has focused on whether this shift was solely because of changes in preferences or if changes to institutions also played a role. Relying upon access point theory, this article argues that an institutional change, delegation to the President, led to endogenous changes in preferences. Delegation makes it harder for interest groups to gain access to policy makers, which should raise the costs of all lobbying. As protectionists dominate lobbying due to their collective action advantage, they will be disproportionately hurt. Thus, delegation should lead to less lobbying and lower tariff rates. These arguments are tested on time series data of tariff rates using an Error Correction Mechanism model and on data on interest group testimony before Congressional committees. © 2008 International Studies Association.","the tariff and the lobbyist: political institutions, interest group politics, and u.s. trade policy",2008,International Studies Quarterly,"Ehrlich, S.D.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",417
"Several authors have argued that a centralization of fiscal powers in a federation is less likely to occur if citizens have to approve a change in the assignments of responsibilities by a popular referendum. This outcome may be due to the fact that logrolling is more difficult under direct than under representative democracy. It may also be caused by citizens' fear that a centralization of fiscal authority facilitates the extraction of rents by the government or the legislature. In this paper, we test the hypothesis that centralization is less likely under referendum decision-making in the unique institutional setting of Switzerland. Using a panel of Swiss cantons from 1980 to 1998, the empirical analysis provides evidence that referendums induce less centralization of fiscal activities. © 2007 Elsevier B.V. All rights reserved.",on government centralization and fiscal referendums,2008,European Economic Review,"Feld, L.P., Schaltegger, C.A., Schnellenbach, J.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",418
"Distributive politics models often predict that legislators will demand inefficiently large projects, with inefficiency increasing in the number of districts, and that this will translate into larger projects and higher spending. The relationship between efficiency and legislature size is often referred to as the ""law of 1/n""(Weingast, Shepsle, and Johnsen 1981). We demonstrate that the ""law of 1/n"" result with respect to project sizes and total spending is dependent on several factors, including the type of good being provided, the costs of raising revenue, and whether the local government has to share in the project's cost with the central government. In general, the ""law of 1/n"" need not hold for total government spending, and in fact a ""reverse law of 1/n"" often holds. In light of our theoretical findings, we reassess the empirical literature on this topic. The results have implications for a wide variety of applications in American and comparative politics. © 2008 Southern Political Science Association.",distributive politics and the law of 1/n,2008,Journal of Politics,"Primo, D.M., Snyder Jr., J.M.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",419
"While a large literature exists on the siting of controversial facilities, few theories about spatial location have been tested on large samples. Using a new dataset from Japan, this paper demonstrates that state agencies choose localities judged weakest in local civil society as host communities for controversial projects. In some cases, powerful politicians deliberately seek to have facilities such as nuclear power plants, dams and airports placed in their home constituency. This paper then explores new territory: how demographic, political and civil society factors impact the outcomes of siting attempts. It finds that the strength of local civil society impacts the probability that a proposed project will come to fruition; the greater the concentration of local civil society, the less likely state-planned projects will be completed. © 2008 World Scientific Publishing Company.","location, location, location: selecting sites for controversial facilities",2008,Singapore Economic Review,"Aldrich, D.P.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",420
"This article analyzes the political determinants of the distribution of infrastructure expenditures by the Italian government to the country's 92 provinces between 1953 and 1994. Extending implications of theories of legislative behavior to the context of open-list proportional representation, we examine whether individually powerful legislators and ruling parties direct spending to core or marginal electoral districts and whether opposition parties share resources via a norm of universalism. We show that when districts elect politically more powerful deputies from the governing parties, they receive more investments. We interpret this as indicating that legislators with political resources reward their core voters by investing in public works in their districts. The governing parties, by contrast, are not able to discipline their own members of parliament sufficiently to target the parties' areas of core electoral strength. Finally, we find no evidence that a norm of universalism operates to steer resources to areas when the main opposition party gains more votes. © 2008, Midwest Political Science Association.","pork-barrel politics in postwar italy, 1953-94",2008,American Journal of Political Science,"Golden, M.A., Picci, L.",Scopus,Third,The variables in the paper did not conform with the meta regression models we applied.,421
"Numerical fiscal rules implemented at the national level in member countries of the European Union offer useful information on possible reasons for the growing reliance on such rules, and on their implication for fiscal policy. Our analysis of a survey-based dataset suggests that both the introduction of the EU fiscal framework and country-specific fiscal governance features played a role in triggering introduction of numerical fiscal rules, and that the impact of rules is statistically significant, robust, and quantitatively important. Outcomes and rules may be jointly determined by unobserved political factors, but the evidence suggests that causality runs from rules to fiscal behaviour, and that rules specifically designed to prevent conflicts with the stabilization function of fiscal policy are indeed associated with less pro-cyclical policies. © CEPR, CES, MSH, 2008.",tied to the mast? national fiscal rules in the european union,2008,Economic Policy,"Debrun, X., Moulin, L., Turrini, A., Ayuso-i-Casals, J., Kumar, M.S.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",422
"Casual empiricism reveals that a government's program implementation policy frequently fails to maximize the representative citizen's welfare. Inthis paper, I construct a model that incorporates political economy considerations and examine the equilibrium policy distortions that a coalition government begets. I show that coalition governments are fiscally profligate when program benefits are divisible and excessively conservative when these benefits are indivisible. In other words, program characteristics (divisible or indivisible) affect even the qualitative nature of coalition-related policy distortions.",coalition governments and distributive programs: a simple model,2008,Journal of International Trade and Economic Development,"Dasgupta, S.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",423
