abstract,title,year,journal,authors,base,exclusion_stage,exclusion reson,#ID
"Identification of a deleterious impact of institutions of direct legislation on student performance by studies for both the U.S. and Switzerland has raised the question of the exact transmission channels for this impact. Studies for the U.S. that find an increase in the ratio of administrative to instructional spending and larger class sizes support the hypothesis of a Leviathan-like school administration. However, research for Switzerland using a time-series panel of sub-federal school expenditure and class size detects no such effect. These findings are in line with previous analyses that identify efficiency gains in the provision of public goods for Switzerland. Version: 7 Dec 2005",do institutions of direct democracy tame the leviathan? swiss evidence on the structure of expenditure for public education,2005,NA,Justina A. V. Fischer1Organisation for Economic Co-operation and Development,Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",858
"A large literature on the ‘flypaper effect’ examines how federal grants to states at time period t affect state spending (or taxes) at time period t. We explore the fundamentally different question of how federal grants at time period t affect state tax policy in the future. Federal grants often result in states creating new programs and hiring new employees, and when the federal funding is discontinued, these new state programs must either be discontinued or financed through increases in state own source taxes. Government programs tend to be difficult to cut, as goes Milton Friedman’s famous quote about nothing being as permanent as a temporary government program, suggesting that it is likely that temporary federal grants create permanent (future) ratchets in state taxes. Far from being purely an academic question, this argument is why South Carolina’s Governor Mark Sanford attempted to turn down federal stimulus monies for his state. We examine both the impact of federal grants on future state budgets and how federal and state grants affect future local government budgets. Our findings confirm that grants indeed result in future state and local tax increases of roughly 40 cents for every dollar in grant money received in prior years.",do intergovernmental grants create ratchets in state and local taxes,2014,Public Choice,"Russell S. Sobel1, George R. Crowley21College of Charleston, 2Troy University",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",859
"The fiscal commons problem is one of the most prominent explanations of excessive spending and indebtedness in political economics. The more fragmented a government, the higher its spending, deficits and debt. In this paper we investigate to what extent this problem can be mitigated by different fiscal or constitutional institutions. We distinguish between two variants of fragmented governments: cabinet size and coalition size. Theoretically, they both describe the degree to which the costs of spending decisions are internalized by individual decision-makers. In addition, we evaluate whether constitutional rules for executive and legislation as well as budget rules shape the size of government and how the different rules interact with fragmentation in determining government size. The empirical study of the role of fragmented governments for fiscal policy outcomes is based on a panel of the 26 Swiss cantons over the 1980-1998 period. The results indicate that the number of ministers in the cabinet is negatively associated with fiscal discipline. Furthermore, the fiscal referendum does effectively restrict the fiscal commons problem, but less successfully than the budget rule.",do large cabinets favor large governments? evidence from swiss sub-federal jurisdictions,2004,NA,"Lars P. Feld1, Christoph A. Schaltegger21Center for Economic Studies, 2University of St. Gallen",Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",860
"The fiscal commons problem is one of the most prominent explanations of excessive spending in political economics. The more fragmented a government, the higher its spending. In this paper we investigate to what extent this problem can be mitigated by different fiscal or constitutional insti-tutions. We distinguish between two variants of fragmented governments: cabinet size and coali-tion size. In addition, we analyze whether constitutional rules for executive and legislature as well as formal fiscal restraints shape the size of government and how different rules interact with fragmentation in determining government size. The empirical analysis of the role of fragmented governments for fiscal policy outcomes is based on a panel of 26 Swiss cantons from 1980-1998. The results indicate that the number of ministers in the cabinet is negatively associated with fiscal discipline. Furthermore, fiscal referendums effectively restrict the size of government, while for-mal fiscal restraints more effectively restrict the fiscal commons problem. (This is a thoroughly revised version of Crema WP Nr. 2004-15)",do large cabinets favor large governments? evidence on institutional restraints on the fiscal commons problem for swiss cantons,2008,NA,"Christoph A. Schaltegger, Lars P. Feld1Heidelberg University",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",861
"The fiscal commons problem is one of the most prominent explanations of excessive spending in political economics. For a panel of the 26 Swiss cantons over the 1980-1998 periods, this paper explores the role of fragmented governments on fiscal policy outcomes. We distinguish between two variants of fragmented governments: cabinet size and coalition size. In addition, we analyze whether constitutional rules for executive and legislature as well as formal fiscal restraints shape the size of government and how different rules interact with fragmentation. The results indicate that the number of ministers in the cabinet is positively associated with the size of government. While fiscal referendums effectively restrict the size of government, there is also evidence that fiscal referendums relax the fiscal commons problem to some extent.",do large cabinets favor large governments? evidence on the fiscal commons problem for swiss cantons,2009,Journal of Public Economics,"Christoph A. Schaltegger1, Lars P. Feld21University of St. Gallen, 2Heidelberg University",Microsoft Academic,Final,Paper was included,862
"The Western world exhibited a significant trend towards larger local governments in the twentieth century, which was driven to a large extent by boundary reforms. Boundary reforms can provide economic benefits, but may also give rise to costs driven by opportunistic political behavior. This study uses a Swedish compulsory reform to test for such behavior. The reform gives a local government the incentive to accumulate debt before a merger takes place, since the taxpayers in the new locality will share the cost. The strength of the incentive to free ride is determined by the population size of the initial locality relative to that of the new locality. I find an economically large and statistically significant free riding effect.",do merging local governments free ride on their counterparts when facing boundary reform,2009,Journal of Public Economics,Björn Tyrefors Hinnerich1Aarhus University,Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",863
"Recently several countries have experienced a drop in popularity of national political parties, accompanied by the success of independent movements (e.g. Civic Lists in Italy). I exploit the success of Civic Lists in Italian municipalities and use them as a comparison group for party-affiliated politicians, to test whether national parties affect fiscal discipline. In particular, using a Regression Discontinuity Design (RDD), I show that party-affiliated mayors are more fiscally responsible: they run lower deficits, accumulate less debt and reduce expenditures. The effect is significant only for municipalities not constrained by fiscal rules. This suggests that national parties act as a substitute for fiscal rules in constraining politicians. Besides that, I provide evidence that the discipline of party-affiliated politicians is linked to better career prospects: party-affiliated mayors have a higher probability of being re-elected and better chances of being promoted to higher levels of government. Finally, the results are not driven by political orientation, alignment with the central government, the presence of criminal organisations nor by unobserved political ability.",do national political parties matter? evidence from italian municipalities,2017,Social Science Research Network,Matteo Gamalerio1University of Warwick,Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",864
"A vast literature demonstrates that voters around the world who benefit from their governments' discretionary spending cast ballots for the incumbent party in larger proportions than those not receiving funds. But contrary to most theories of political accountability, the evidence seems to indicate that voters also reward incumbent parties for implementing ``programmatic'' spending legislation, over which incumbents have no discretion, and even when passed with support from all major parties. Why voters would attribute responsibility when none exists is unclear, as is why minority party legislators would approve of legislation that will cost them votes. We address this puzzle with one of the largest randomized social experiments ever, resulting in clear rejection of the claim, at least in this context, that programmatic policies greatly increase voter support for incumbents. We also reanalyze the study cited as claiming the strongest support for the electoral effects of programmatic policies, which is also a very large scale randomized experiment. We show that its key results vanish after correcting either a simple coding error affecting only two observations or highly unconventional data analysis procedures (or both). We discuss how these consistent empirical results from the only two probative experiments on this question may be reconciled with several observational and theoretical studies touching on similar questions in other contexts.",do nonpartisan programmatic policies have partisan electoral effects? evidence from two large scale randomized experiments,2019,The Journal of Politics,"Kosuke Imai1, Gary King2, Carlos Velasco Rivera1Princeton University, 2Harvard University",Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",865
"In the twentieth century there was a significant trend towards larger local governments through amalgamations in the western world. Amalgamations provide potential economic benefits but might also give rise to costs driven by opportunistic political behavior. This study uses a compulsory amalgamation reform of municipalities in Sweden to test for such behavior. The reform gives a local government incentives to accumulate debt before the amalgamation takes place, since the cost will be shared by all tax payers in the new municipality. The strength of this incentive to free ride will be determined by the locality's population size, relative to the future size of the new locality. We find an economically large and statistically significant free riding effect and the result is robust.",do politicians free-ride? - an empirical test of the common pool model,2006,NA,Björn Tyrefors1Stockholm School of Economics,Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",866
"Even though Finland has proportional elections, single-party control in Finnish local councils is not uncommon contrary to what one might expect. The largest party holds more than half of the seats in every third Finnish local council and is thus likely to govern alone. This study investigates whether single-party and coalition governed municipalities differ in their economic outcomes. Common pool models predict that when there is a governing coalition, all the parties aim to target some spending at their core constituents, while costs are shared equally across all parties. This would mean that coalition governments result in higher spending. Using data from 445 Finnish municipalities for the years 1980â€“2010, I provide causal evidence that is consistent with the predictions of common pool models. Estimates suggest that single-party control decreases total expenditures and revenues by around 200â€“300 euros per capita. I also analyze the effect in several areas of spending and revenues, but do not find any clear results. I exploit close elections as a source of exogenous variation using a regression discontinuity design (RDD) approach tailored for proportional elections.",do single-party and coalition governments differ in their economic outcomes? evidence from finnish municipalities,2013,NA,Jaakko Meriläinen,Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",867
"Scholars of state politics are often interested in the causal effects of legislative institutions on policy outcomes. For example, during the 1990s a number of states adopted term limits for state legislators. Advocates of term limits argued that this institutional reform would alter state policy in a number of ways, including limiting state expenditures. We highlight a number of research design issues that complicate attempts to estimate the effect of institutions on state outcomes by addressing the question of term limits and spending. In particular, we focus on (1) treatment effect heterogeneity and (2) the suitability of nonterm-limit states as good counterfactuals for term-limit states. We compare two different identification strategies to deal with these issues: differences-in-differences (DID) estimation and conditioning on prior outcomes with an emphasis on synthetic case control. Using more rigorous methods of causal inference, we find little evidence that term limits affect state spending. Our analysis and results are informative for researchers seeking to assess the causal effects of state-level institutions.",do term limits restrain state fiscal policy?: approaches for causal inference in assessing the effects of legislative institutions,2013,Legislative Studies Quarterly,"Luke Keele1, Neil A. Malhotra2, Colin H. McCubbins21Pennsylvania State University, 2Stanford University",Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",868
"Entrepreneurship is the main engine of economic growth and prosperity. Previous research has explored both the factors that make individuals more likely to be entrepreneurs and the economic policies that foster entrepreneurial activity. In this paper we explore, for the first time, the relationship between media freedom and entrepreneurial activity. A free press might increase entrepreneurial activity because it increases the flow of ideas and information, leading to both more new discoveries as well as an easier ability for entrepreneurs to market and sell new products and innovations.",does a free press nurture entrepreneurship,2011,NA,"Nabamita Dutta1, Sanjukta Roy2, Russell S. Sobel31University of Wisconsin–La Crosse, 2World Bank, 3The Citadel, The Military College of South Carolina",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",869
"Are fiscal programs larger or smaller if they are run centrally, rather than locally, in a prospective federation. We abstract completely from well-understood economic issues and focus instead on the political effects of centralization. For fiscal programs with benefits broadly spread in the population - such as redistributive transfer schemes, social insurance and general government consumption - centralization changes the coalition of voters who favor a large program in a direction that depends on the nature of the redistributive instrument. For fiscal programs with localized benefits-such as provision of local public goods - centralization creates opportunities for rent-seeking, which increases the size of government.",does centralization increase the size of government,1994,European Economic Review,"Torsten Persson1, Guido Tabellini21Stockholm University, 2University of Brescia",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",870
"In many countries, local governments operating on a small scale face a choice between amalgamation and cooperation. This paper applies a novel methodology to investigate the implications of this choice for operating efficiency. Using a unique micro-level dataset of over 11,000 loans made to both municipalities and intermunicipal organizations in the Netherlands, we show that the latter consistently pay higher interest rates than the former. That is remarkable, because credit risk is zero in both cases, and we control for loan characteristics like amortization and maturity. In contrast, municipal amalgamation does not result in higher interest rates. Possible legal or administrative costs associated with enforcing loan guarantees cannot explain the higher interest paid by intermunicipal organizations. That is because we find that public companies (which may default) do not pay higher interest rates than public bodies (which never default). Surprisingly, the number of partners cooperating in an intermunicipal organization does not affect interest rates. Thus, we find no evidence for the","does intermunicipal cooperation create inefficiency? a comparison of interest rates paid by intermunicipal organizations, amalgamated municipalities and not recently amalgamated municipalities",2015,SOM Research Reports,"Maarten Allers1, Bernard van Ommeren2, Bieuwe Geertsema1SOM EEF, 2BNG Bank",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",871
"Inter-municipal cooperation is a common way to provide local public services, exploit economies of scale and internalize externalities. However, little is known about possible efficiency gains. We test their existence in terms of local public expenditures reductions, by investigating the Italian experience of municipal unions. We adopt quasi-experimental methodologies using administrative data on municipalities in the Emilia Romagna region. We find that being in a municipal union reduces the total per capita current expenditures by around 5 percent, without affecting the level of local public services. The effect is robust, persistent and increasing up to six years after entrance.",does intermunicipal cooperation promote efficiency gains?:evidence from italian municipal unions,2018,Journal of Regional Science,"Massimiliano Ferraresi1, Giuseppe Migali2, Leonzio Rizzo31European Commission ‐ DG Joint Research Centre Directorate I Competences ‐ Modelling Indicators and Impact Evaluation Unit Via E.Fermi 2749, TP 361 Ispra (VA) I‐21027 Italy, 2Lancaster University, 3University of Ferrara",Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",872
"If school boards represent the preferences of the median voter, referendums to approve school expenditures should not constrain school expenditures. If school boards would choose expenditures larger than the median voter’s preference, referendums that restrict voters to approving or disapproving a school board’s recommended expenditure level will result in expenditures larger than the median voter would prefer. However, Florida used a unique referendum system which guaranteed the median voter’s most preferred outcome. Using Florida education expenditures as a benchmark, the evidence suggests that spending was slightly higher in restricted choice referendum states than in Florida.",does restricting choice in referenda enable governments to spend more,2008,Public Choice,"Randall G. Holcombe1, Lawrence W. Kenny21Florida State University, 2University of Florida",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",873
"First of all, cross-border research includes but still is different from the research on cross-border areas. With regard to cross-border areas, we have only a very restricted geographical scope —that is, each border area must be defined as of a certain geographical area. For example, in China, international border trade covers an area 15 km from the border. This is a narrow definition. Peach includes 23 counties of the four states of California, Arizona, New Mexico, and Texas, all of which share a border with Mexico in a broad definition of a border-area. This area also includes Culberson and Dimmit counties of Texas, which are proximate to the border. Other research tasks have defined the US side border-area in an even wider geographical scope.",doing cross-border research,2015,NA,Rongxing Guo1Peking University,Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",874
"This paper studies the effects of term duration on legislative behavior using field experiments that occur in the Arkansas, Illinois, and Texas Senates in the United States. After mandatory changes in senate district boundaries, state senators are randomly assigned to serve either two-year or four-year terms, providing a rare opportunity to study legislative behavior experimentally. Despite important differences across states, when considered together, the results show that senators serving two years abstain more often, introduce fewer bills, and do not seem to be more responsive to their constituents than senators serving four years. In addition, senators serving shorter terms raise and spend significantly more money, although in those states where funds can be raised continuously during the legislative term, the differences arise only when the election is imminent.",drawing your senator from a jar:term length and legislative behavior,2016,Political Science Research and Methods,"Rocío Titiunik1University of California, Berkeley",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",875
"This paper examines the duration of fiscal consolidations among the fifteen EU Members States using data from the European Commission for the period 1960-2000. Using the duration model approach, we estimate the hazard and survivor functions of our series. Then we discuss what is the duration model that best fits our data, and which are the explanatory variables that best exp lain the probability of ending a fiscal consolidation period. We also deal with those aspects related to sample heterogeneity and the sensitivity of the results to different possible definitions of fiscal adjustment. We find evidence that the probability of ending a period of fiscal consolidation depends on the debt level, the magnitude of the adjustment, the extent of expenditure cuts, and the degree of cabinet fragmentation. We also find that under a stricter definition of fiscal consolidation, political variables, such as coalition size and election year, gain importance with respect to economic variables as predictors of the probability of ending a fiscal consolidation period.",duration of fiscal budgetary consolidations in the european union,2002,NA,"Reyes Maroto Illera, Carlos Mulas-Granados",Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",876
"Drawing on recent work on the creation and breakup of countries, this paper examines the impact of economic and political integration on the vertical government structure. It argues that by increasing the market size and the benefits from the decentralized provision of public goods, integration might have triggered the recent process of fiscal decentralization in OECD countries. Based on a theoretical framework, the empirical panel analysis relates the degree of public sector decentralization to economic and European integration, controlling for inter-regional heterogeneity, economies of scale, and institutions. The results found mostly support a decentralizing effect of economic and European integration, particularly in the context of preference heterogeneity, whereas participation of sub-national governments in central decision-making is associated with increasing centralization.",economic integration and fiscal decentralization: evidence from oecd countries,2004,NA,Dan Stegarescu1Zentrum für Europäische Wirtschaftsforschung,Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",877
"We examine a large set of economic, sociopolitical, and institutional variables in a panel of 57 developed and developing countries over the period of 1970-90 to derive robust conclusions about which variables are important in explaining cross-country differences in public sector deficits. Financial depth, income inequality, assassinations, cabinet size, and centralization of authority in budgetary decisions are found to be significant and robust determinants of public deficits. We also propose a working hypothesis and provide supporting econometric evidence: Social polarization is important in explaining differences in fiscal outcomes across countries, yet its effects may be even more pronounced or suppressed, depending on the political and institutional structures through which social polarization is linked to the fiscal policy-making process. Indeed, effects on public deficits of the sociopolitical variables tend to be smaller in countries with better institutional arrangements. Conversely, the sociopolitical polarization has very strong effects on deficits in the presence of poor institutions. The results are confirmed by extensive robustness tests such as the sensitivity analysis and the robust estimation method.","economic, political and institutional determinants of public deficits",2003,Journal of Public EconomicsSocial Science Research Network,"Jaejoon Woo1, 2DePaul University, Organisation for Economic Co-operation and Development",Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",878
"This paper uses international data on voter turnout and individual-level data to describe levels and distribution of political participation in Latin America. The paper finds that, while voter turnout in Latin America is rather low, the analysis of more general indicators of political activism reveals that participation is fairly homogenous across socio-economic strata. The finding that participation in Latin America, though low, is comparatively egalitarian seems to partly contradict the perception that Latin America’s history has been one of exclusion and marginalization.","economic, social and demographic determinants of political participation in latin america; evidence from the 1990s",2004,NA,"Alejandro Gaviria1, Ugo Panizza2, Jessica Seddon Wallack31Universidad Los Andes, Bogota, Colombia, 2Inter-American Development Bank, 3University of California, San Diego",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",879
"Analysis of the contribution of education to growth through its role in promoting a common culture indicates that when different cultural groups separately determine the social content of their school curricula excessive polarization can result, with less than optimal growth. The optimal trajectory involves a gradual, reciprocal convergence of school curricula towards the middle ground. This may be difficult to implement in a political context in which all agents are identified with one group or another. When curricula are determined by legislative bargaining, centralization of schooling may result in overly rapid homogenization in some cases, and - perhaps surprisingly - excessive polarization in others.","education, social cohesion, and economic growth",2002,The American Economic Review,"Mark Gradstein1, Moshe Justman21Ben-Gurion University of the Negev, 2Melbourne Institute of Applied Economic and Social Research",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",880
"Empirical research on the causal effect of government fragmentation derives diverse results. One reason for this diversity might be that studies are typically settled in a variety of institutional environments. To assess the extent to which the local political system might shape the effects of fragmentation, this study measures the causal effect of a change in the nomination scheme of the city manager on the council size effect. I combine a regression discontinuity design with a difference-in-differences approach in a large panel dataset of German municipalities. The study finds that when the manager is appointed by council, there is no significant council size effect, but that there is a negative effect when the manager is elected by voters for those expenditure categories over which the manager has the most discretion. These findings suggest that the nature of the political system does indeed matter.",elected or appointed? how the nomination scheme of the city manager influences the effects of government fragmentation,2015,Journal of Urban Economics,"Sebastian Garmann1Ruhr Graduate School in Economics (RGS Econ), University of Dortmund (TU), Vogelpothsweg 87, Dortmund, Germany",Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",881
"High and/or swiftly rising public-debt-to-GDP ratios (debt) became significant issues in many developed democracies in recent years. Figure 1 plots gross, consolidated, central-government debt for 21 OECD countries, 1948–97.39 Fairly commonly, debt declined dramatically from 1948–72± and equally dramatically reversed thereafter. In many countries, debt doubled or more from 1972–90; in some, it now exceeds 100%. Wide and rising public concern over these developments, and the number of theories emerging to explain them, are thus hardly surprising. Beyond the common trend, however, lie large differences in postwar debt experiences of OECD nations. Shared cross-time variation comprises only 16.6% of the total, with increasing divergence apparent since 1980 while persistent cross-national differences represent 56.4% of the total variation. Even removing shared temporal fluctuations and country averages, considerable country-time-unique variation, 27% of the total, remains.40","electoral and partisan manipulation of public debt in developed democracies, 1956-90",2000,NA,Robert J. Franzese1University of Michigan,Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",882
"Local public good provision from different government levels is subject to many bias coming from the political process; incentives indeed, vary with the size of the beneficiaries’ set and costs may affect the results of political competition by reducing total resources available for redistribution. Present work represents a first attempt to look at these issues together; indeed, it considers the situation where politicians have a finite budget to use both for redistributive policies and for the provision of a public good that affects the utility of a fraction of the electorate. In this setting it is not enough that benefits balance costs, in order for the public good to be implemented; the required level of efficiency moreover, is influenced by benefits concentration. If those interested in the public good are less than half of the electorate, concentration increases the efficiency threshold; on the contrary if they amount for more, benefits concentration decreases the required level of efficiency. Classification-JEL: D72, H41",electoral competition and incentives to local public good provision,2006,NA,Marco Magnani,Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",883
"A rough consensus has emerged that states with proportional representation systems are"" likely to run larger deficits than plurality states. We argue that electoral institutions matter because"" they restrict the type of budgetary institution at the governmental phase which a state has at its"" disposal. Cabinet members may willingly delegate authority to a finance minister who can monitor"" spending ministers and punish those who defect' in a process we label delegation procedure is feasible in states where one-party governments are the norm. Such states usually have"" plurality electoral systems. In multi-party governments, which are common in states with"" proportional representation, the coalition members are not willing to delegate to one actor the ability"" to monitor and punish the others. Negotiated targets in the form of fiscal contracts provide an"" alternative in multi-party governments. Pooled time series regression results for the current"" European Union states in the period 1981-94 support our contention that it is the presence or absence"" of one of these budgetary institutions, rather than the plurality/proportional representation"" dichotomy, which has the greatest impact on debt levels.","electoral institutions, cabinet negotiations, and budget deficits in the european union",1997,National Bureau of Economic Research,"Mark Hallerberg1, Juergen von Hagen21Emory University, 2University of Bonn",Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",884
"Theory provides many explanations about the influence of electoral rules on politicians’ equilibrium behavior. With a few exceptions, all models agree that majoritarian elections are associated with more targeted redistribution and lower politicians’ rents than proportional representation. To sidestep the identification problems of previous empirical studies based on country-level data, we test these hypotheses using micro data for the mixed-member Italian House of Representatives. In particular, we address the nonrandom selection into different electoral systems by exploiting a particular feature of the Italian two-tier elections from 1994 to 2006: candidates could run for both the majoritarian and the proportional tier, but if they won in both tiers they had to accept the majoritarian seat. Focusing on elections decided by a narrow margin allows us to generate quasi-experimental estimates of the impact of the electoral rule. The main results confirm theoretical predictions, as majoritarian representatives put forward a higher proportion of bills targeted at local areas and show lower absenteeism rates than their proportional colleagues.",electoral rules and politicians' behavior: a micro test,2011,American Economic Journal: Economic Policy,"Stefano Gagliarducci1, Tommaso Nannicini2, Paolo Naticchioni31U Rome ""Tor Vergata"", 2Bocconi U, 3U Cassino",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",885
"A p anel data analysis is performed using a pool of Brazilian states to evaluate how electoral systems, through their impact on legislative fragmentation, affect the size and composition of public spending. Framed within recent political economy models that ex amine the fiscal outcomes of electoral systems, results indicate that the more disproportional the electoral system and the smaller the fragmentation of state assemblies, more is allocated towards public goods and less is allocated towards transfers. Evidence in favor of the common-pool hypothesis at the state level was not compelling. Under some specifications, large and more fragmented state legislatures were found to be associated with smaller state governments.","electoral systems, legislative fragmentation and public spending: a comparative analysis of brazilian states",2003,Working Paper,Victor Lledo1University of Wisconsin-Madison,Microsoft Academic,Final,Paper was included,886
"Microeconomic theory can serve at least two useful functions in the development of a coherent theory of political economy. First, the logic of individual choice is developed in detail. Second, microeconomic theory may provide a useful framework for the analysis of the economic interests of social actors. While the formal theory of social choice has received considerable development in political science, there is considerably less research explicitly endogenizing political decisions. This paper examines a recent body of research by economists which does attempt to link rational choice with explicit assumptions about economic interests in an attempt to endogenize tariff policy. It is suggested that this line of research is potentially fruitful, but that greater attention needs to be given to the institutional assumptions on both the demand and supply sides of the market for political outputs.",endogenous tariff theory: a critical survey*,1988,American Journal of Political Science,Douglas Nelson,Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",887
"If people understand that some macroeconomic policies are unsustainable, why would they vote for them in the .first place? We develop a political economy theory of the endogenous emergence of fiscal crises, based on the idea that the adjustment mechanism to a crisis favors some social groups, that may be induced ex-ante to vote in favor of policies that are more likely to lead to a crisis. People are entitled to a certain level of a publicly provided good, which may be rationed in times of crises. After voting on that level, society votes on the extend to which it will be financed by debt. Under bad enough macro shocks, a crisis arises: taxes are set at their maximum but despite that some agents do not get their entitlement. Some social groups do better in this rationing process than others. We show that public debt .which makes crises more likely .is higher, as is the probability of a crisis, the greater the level of favoritism. If the favored group is important enough to be pivotal when society votes on the entitlement level, favoritism also leads to greater public expenditure. We show that the favored group may strategically favor a weaker state in order to make crises more frequent. Finally, the decisive voter when choosing expenditure may be different from the one when voting on debt. In such a case, constitutional limits on debt may raise the utility of all the poor, relative to the equilibrium outcome absent such limits.",engineering crises: favoritism and strategic fiscal indiscipline,2017,NA,"Gilles Saint-Paul1, 2, Davide Ticchi3, Andrea Vindigni41Paris School of Economics, 2New York University Abu Dhabi, 3Marche Polytechnic University, 4University of Genoa",Microsoft Academic,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",888
Framework Paper,enhancing capabilities of central finance agencies: from diagnosis to action,2012,NA,"Bjoern Dressel, Jim Brumby",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",889
"A recorder comprises an input port for inputting a data, an output unit for outputting data of different formats supplied from the input port as dot matrix data of identical format, and a dot matrix record unit for recording the data supplied by the output unit.",environmental and agricultural policy: what roles for the eu and the member states?,2006,NA,Harald Grethe1Humboldt University of Berlin,Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",890
"Unexpected events such as environmental catastrophes capture wide public attention. Soon after five major shocks—Three Mile Island, Love Canal, Bhopal, Chernobyl, and the Exxon Valdez oil spill—Congress voted on new risk regulation. This paper conducts an event study to test whether individual congressional representatives were “shocked” by these environmental disasters into increasing their probability of voting in favor of risk legislation. On average, representatives were less likely to vote in favor of bills tied to these five events. Significant heterogeneity in representatives’ responses to these shocks is documented. Liberal Northeast representatives were most likely to increase their pro-environment voting in the aftermath of these shocks.","environmental disasters as risk regulation catalysts? the role of bhopal, chernobyl, exxon valdez, love canal, and three mile island in shaping u.s. environmental law",2007,Journal of Risk and Uncertainty,"Matthew E. Kahn1University of California, Los Angeles",Microsoft Academic,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",891
